Anio,Trimestre,Region,Codigo_region,Notat,Tasa_desocupacion,Notah,Tasa_des_hombres,Notam,Tasa_des_mujeres ,Brecha_genero
2010,Ene- Mar,Arica y Parinacota,15, ,8.3, ,7.0, ,10.1,3.1
2010,Abr - Jun,Arica y Parinacota,15, ,7.1, ,6.2, ,8.2,2.0
2010,Jul - Sep,Arica y Parinacota,15, ,7.4, ,6.2, ,9.1,2.9
2010,Oct - Dic,Arica y Parinacota,15, ,7.4, ,5.9, ,9.4,3.5
2010,Ene- Mar,Tarapacá,1, ,6.9, ,6.2, ,7.9,1.7
2010,Abr - Jun,Tarapacá,1, ,6.1, ,5.4, ,7.2,1.7
2010,Jul - Sep,Tarapacá,1, ,4.0, ,3.2, ,5.3,2.0
2010,Oct - Dic,Tarapacá,1, ,5.4, ,5.0, ,6.1,1.2
2010,Ene- Mar,Antofagasta,2, ,8.7, ,6.8, ,12.2,5.4
2010,Abr - Jun,Antofagasta,2, ,7.1, ,5.9, ,9.2,3.3
2010,Jul - Sep,Antofagasta,2, ,7.8, ,8.4, ,6.7,-1.7
2010,Oct - Dic,Antofagasta,2, ,7.3, ,7.7, ,6.5,-1.2
2010,Ene- Mar,Atacama,3, ,9.1, ,8.5, ,10.4,2.0
2010,Abr - Jun,Atacama,3, ,8.2, ,6.7, ,11.0,4.3
2010,Jul - Sep,Atacama,3, ,6.2, ,4.9, ,8.3,3.4
2010,Oct - Dic,Atacama,3, ,6.2, ,5.2, ,7.9,2.8
2010,Ene- Mar,Coquimbo,4, ,10.2, ,9.3, ,11.6,2.3
2010,Abr - Jun,Coquimbo,4, ,8.2, ,7.1, ,9.9,2.8
2010,Jul - Sep,Coquimbo,4, ,8.0, ,7.5, ,8.7,1.2
2010,Oct - Dic,Coquimbo,4, ,7.5, ,7.1, ,8.1,1.0
2010,Ene- Mar,Valparaíso,5, ,11.2, ,9.8, ,13.2,3.4
2010,Abr - Jun,Valparaíso,5, ,10.5, ,8.1, ,14.3,6.2
2010,Jul - Sep,Valparaíso,5, ,9.8, ,7.9, ,12.6,4.6
2010,Oct - Dic,Valparaíso,5, ,8.4, ,6.8, ,10.7,3.9
2010,Ene- Mar,Metropolitana,13, ,9.5, ,8.8, ,10.5,1.8
2010,Abr - Jun,Metropolitana,13, ,8.4, ,7.4, ,9.7,2.3
2010,Jul - Sep,Metropolitana,13, ,7.9, ,7.5, ,8.5,1.0
2010,Oct - Dic,Metropolitana,13, ,7.2, ,6.4, ,8.4,2.0
2010,Ene- Mar,O'Higgins,6, ,6.1, ,4.5, ,8.8,4.3
2010,Abr - Jun,O'Higgins,6, ,6.7, ,5.7, ,8.5,2.8
2010,Jul - Sep,O'Higgins,6, ,8.4, ,7.2, ,10.4,3.2
2010,Oct - Dic,O'Higgins,6, ,6.4, ,6.1, ,6.9,0.8
2010,Ene- Mar,Maule,7, ,8.1, ,5.8, ,11.9,6.1
2010,Abr - Jun,Maule,7, ,8.2, ,7.2, ,10.1,2.9
2010,Jul - Sep,Maule,7, ,7.1, ,5.4, ,10.2,4.7
2010,Oct - Dic,Maule,7, ,5.9, ,5.0, ,7.5,2.6
2010,Ene- Mar,Ñuble,16, ,8.2, ,7.1, ,10.1,3.1
2010,Abr - Jun,Ñuble,16, ,10.8, ,10.4, ,11.6,1.2
2010,Jul - Sep,Ñuble,16, ,8.6, ,8.0, ,9.8,1.8
2010,Oct - Dic,Ñuble,16, ,6.5, ,5.2, ,8.6,3.3
2010,Ene- Mar,Biobío,8, ,10.6, ,8.6, ,13.8,5.2
2010,Abr - Jun,Biobío,8, ,10.1, ,8.9, ,12.0,3.2
2010,Jul - Sep,Biobío,8, ,9.2, ,8.8, ,10.0,1.2
2010,Oct - Dic,Biobío,8, ,8.0, ,6.4, ,10.3,3.9
2010,Ene- Mar,La Araucanía,9, ,8.7, ,6.5, ,12.2,5.7
2010,Abr - Jun,La Araucanía,9, ,9.5, ,7.4, ,12.9,5.5
2010,Jul - Sep,La Araucanía,9, ,8.6, ,6.7, ,11.3,4.6
2010,Oct - Dic,La Araucanía,9, ,8.1, ,5.9, ,11.4,5.5
2010,Ene- Mar,Los Ríos,14, ,11.2, ,8.4, ,15.6,7.2
2010,Abr - Jun,Los Ríos,14, ,8.9, ,6.8, ,12.2,5.5
2010,Jul - Sep,Los Ríos,14, ,9.1, ,8.1, ,10.7,2.7
2010,Oct - Dic,Los Ríos,14, ,8.6, ,6.6, ,11.8,5.3
2010,Ene- Mar,Los Lagos,10, ,7.2, ,7.3, ,7.0,-0.2
2010,Abr - Jun,Los Lagos,10, ,8.6, ,9.2, ,7.7,-1.4
2010,Jul - Sep,Los Lagos,10, ,7.5, ,6.5, ,9.2,2.8
2010,Oct - Dic,Los Lagos,10, ,6.0, ,5.4, ,6.9,1.5
2010,Ene- Mar,Aysén,11, ,3.7, ,2.7, ,5.3,2.6
2010,Abr - Jun,Aysén,11, ,6.5, ,4.8, ,9.0,4.1
2010,Jul - Sep,Aysén,11, ,5.5, ,4.8, ,6.6,1.8
2010,Oct - Dic,Aysén,11, ,4.7, ,3.7, ,6.1,2.3
2010,Ene- Mar,Magallanes,12, ,5.0,a,5.2, ,4.6,-0.6
