Anio,Region,Codigo_region,Tramos_edad,Nacidos_padres,Nacidos_madres,Porc_nacidos_padres,Porc_nacidos_madres,Brecha_genero
1990,Arica y Parinacota,15,10 a 14 años,0,5,0.0,0.1,0.1
1990,Arica y Parinacota,15,15 a 19 años,141,490,3.8,13.2,9.4
1990,Tarapacá,1,10 a 14 años,0,7,0.0,0.2,0.2
1990,Tarapacá,1,15 a 19 años,144,501,3.9,13.7,9.8
1990,Antofagasta,2,10 a 14 años,0,26,0.0,0.3,0.3
1990,Antofagasta,2,15 a 19 años,381,1391,3.9,14.1,10.2
1990,Atacama,3,10 a 14 años,0,24,0.0,0.4,0.4
1990,Atacama,3,15 a 19 años,231,868,4.1,15.4,11.3
1990,Coquimbo,4,10 a 14 años,0,42,0.0,0.4,0.4
1990,Coquimbo,4,15 a 19 años,482,1943,4.2,17.0,12.8
1990,Valparaíso,5,10 a 14 años,1,79,0.0,0.3,0.3
1990,Valparaíso,5,15 a 19 años,955,3777,3.3,13.1,9.8
1990,Metropolitana,13,10 a 14 años,0,190,0.0,0.2,0.2
1990,Metropolitana,13,15 a 19 años,3946,13699,3.4,11.9,8.4
1990,O'Higgins,6,10 a 14 años,0,56,0.0,0.4,0.4
1990,O'Higgins,6,15 a 19 años,500,2316,3.3,15.1,11.9
1990,Maule,7,10 a 14 años,0,75,0.0,0.4,0.4
1990,Maule,7,15 a 19 años,576,2888,3.1,15.5,12.4
1990,Ñuble,16,10 a 14 años,0,28,0.0,0.3,0.3
1990,Ñuble,16,15 a 19 años,222,1292,2.6,15.0,12.4
1990,Biobío,8,10 a 14 años,0,71,0.0,0.2,0.2
1990,Biobío,8,15 a 19 años,873,4109,2.9,13.9,10.9
1990,La Araucanía,9,10 a 14 años,1,53,0.0,0.3,0.3
1990,La Araucanía,9,15 a 19 años,481,2397,3.0,14.9,11.9
1990,Los Ríos,14,10 a 14 años,0,19,0.0,0.3,0.3
1990,Los Ríos,14,15 a 19 años,192,1085,2.8,15.6,12.8
1990,Los Lagos,10,10 a 14 años,0,44,0.0,0.3,0.3
1990,Los Lagos,10,15 a 19 años,468,2159,3.5,16.3,12.8
1990,Aysén,11,10 a 14 años,0,16,0.0,0.8,0.8
1990,Aysén,11,15 a 19 años,65,355,3.2,17.4,14.2
1990,Magallanes,12,10 a 14 años,0,7,0.0,0.2,0.2
1990,Magallanes,12,15 a 19 años,76,273,2.7,9.5,6.9
1991,Arica y Parinacota,15,10 a 14 años,0,10,0.0,0.3,0.3
1991,Arica y Parinacota,15,15 a 19 años,120,437,3.3,12.0,8.7
1991,Tarapacá,1,10 a 14 años,0,14,0.0,0.4,0.4
1991,Tarapacá,1,15 a 19 años,158,483,4.3,13.3,8.9
1991,Antofagasta,2,10 a 14 años,0,18,0.0,0.2,0.2
1991,Antofagasta,2,15 a 19 años,388,1382,4.0,14.4,10.4
1991,Atacama,3,10 a 14 años,0,15,0.0,0.3,0.3
1991,Atacama,3,15 a 19 años,202,841,3.8,15.6,11.9
1991,Coquimbo,4,10 a 14 años,1,49,0.0,0.4,0.4
1991,Coquimbo,4,15 a 19 años,531,1914,4.7,17.0,12.3
1991,Valparaíso,5,10 a 14 años,1,60,0.0,0.2,0.2
1991,Valparaíso,5,15 a 19 años,876,3612,3.2,13.1,9.9
1991,Metropolitana,13,10 a 14 años,3,185,0.0,0.2,0.2
1991,Metropolitana,13,15 a 19 años,3854,13138,3.4,11.7,8.3
1991,O'Higgins,6,10 a 14 años,1,41,0.0,0.3,0.3
1991,O'Higgins,6,15 a 19 años,448,2225,3.1,15.2,12.1
1991,Maule,7,10 a 14 años,0,66,0.0,0.4,0.4
1991,Maule,7,15 a 19 años,583,2911,3.2,16.0,12.8
1991,Ñuble,16,10 a 14 años,0,29,0.0,0.4,0.4
1991,Ñuble,16,15 a 19 años,225,1328,2.7,16.1,13.4
1991,Biobío,8,10 a 14 años,0,71,0.0,0.2,0.2
1991,Biobío,8,15 a 19 años,918,4076,3.1,13.9,10.8
1991,La Araucanía,9,10 a 14 años,0,53,0.0,0.3,0.3
1991,La Araucanía,9,15 a 19 años,418,2260,2.6,14.3,11.7
1991,Los Ríos,14,10 a 14 años,0,28,0.0,0.4,0.4
1991,Los Ríos,14,15 a 19 años,182,1028,2.7,15.0,12.3
1991,Los Lagos,10,10 a 14 años,0,46,0.0,0.3,0.3
1991,Los Lagos,10,15 a 19 años,431,2118,3.3,16.0,12.8
1991,Aysén,11,10 a 14 años,0,15,0.0,0.8,0.8
1991,Aysén,11,15 a 19 años,48,285,2.6,15.4,12.8
1991,Magallanes,12,10 a 14 años,0,6,0.0,0.2,0.2
1991,Magallanes,12,15 a 19 años,66,286,2.3,10.1,7.8
1992,Arica y Parinacota,15,10 a 14 años,1,6,0.0,0.2,0.1
