Region;Hombre;Mujer;Total
Arica y Parinacota;125076;123866;248942
Tarapacá;188852;185256;374108
Antofagasta;340999;336291;677290
Atacama;157907;154682;312589
Coquimbo;405290;421840;827130
Valparaíso;951132;993621;1944753
O'Higgins;491954;491499;983453
Maule;552359;571461;1123820
Ñuble;246947;262317;509264
Biobío;808097;849995;1658092
La Araucanía;493939;516415;1010354
Los Ríos;198306;206016;404322
Los Lagos;441524;445560;887084
Aysén;54118;52774;106892
Magallanes;89912;86965;176877
Metropolitana;3943536;4050427;7993963
